==35839== NVPROF is profiling process 35839, command: ./bin/sputniPIC.out inputfiles/GEM_2D_increased.inp -t 128 -s 64 -c
==35839== Profiling application: ./bin/sputniPIC.out inputfiles/GEM_2D_increased.inp -t 128 -s 64 -c
==35839== Profiling result:
"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,s,,ms,ms,ms,
"GPU activities",92.523257,74.464264,5120,14.543801,3.438361,30.725291,"g_combined_kernel(int, int, int, int, grid, parameters, dt_info, particles_pointers, field_pointers, ids_pointers, grd_pointers)"
"GPU activities",4.172185,3.357844,36640,0.091644,0.024318,0.275154,"[CUDA memcpy HtoD]"
"GPU activities",3.304558,2.659564,31160,0.085351,0.021855,0.836151,"[CUDA memcpy DtoH]"
"API calls",97.130336,80.071485,80,1000.893564,236.894048,2082.971981,"cudaDeviceSynchronize"
"API calls",1.504048,1.239895,28,44.281955,33.478862,316.970568,"cudaHostAlloc"
"API calls",0.532181,0.438715,66560,0.006591,0.004543,30.475859,"cudaMemcpyAsync"
"API calls",0.439974,0.362702,1240,0.292501,0.206498,4.594754,"cudaMemcpy"
"API calls",0.293997,0.242363,28,8.655805,8.136870,10.796613,"cudaFreeHost"
"API calls",0.085880,0.070797,5120,0.013827,0.010839,0.223664,"cudaLaunchKernel"
"API calls",0.006142,0.005063,27,0.187523,0.139701,0.679432,"cudaMalloc"
"API calls",0.003807,0.003138,27,0.116237,0.089250,0.254507,"cudaFree"
"API calls",0.001633,0.001346,192,0.007012,0.000297,0.311336,"cuDeviceGetAttribute"
"API calls",0.001102,0.000909,64,0.014195,0.001670,0.154838,"cudaStreamCreate"
"API calls",0.000446,0.000368,64,0.005744,0.002084,0.141206,"cudaStreamDestroy"
"API calls",0.000291,0.000240,2,0.119923,0.111751,0.128096,"cuDeviceTotalMem"
"API calls",0.000120,0.000099,2,0.049583,0.038364,0.060802,"cuDeviceGetName"
"API calls",0.000028,0.000023,2,0.011618,0.007331,0.015905,"cuDeviceGetPCIBusId"
"API calls",0.000009,0.000007,4,0.001855,0.000300,0.006227,"cuDeviceGet"
"API calls",0.000004,0.000003,3,0.001102,0.000448,0.002286,"cuDeviceGetCount"
"API calls",0.000001,0.000001,2,0.000606,0.000450,0.000763,"cuDeviceGetUuid"
