==35174== NVPROF is profiling process 35174, command: ./bin/sputniPIC.out inputfiles/GEM_2D_increased.inp -t 128 -s 32 -c
==35174== Profiling application: ./bin/sputniPIC.out inputfiles/GEM_2D_increased.inp -t 128 -s 32 -c
==35174== Profiling result:
"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,s,,ms,ms,ms,
"GPU activities",92.584923,74.345802,2560,29.041328,6.863665,61.327154,"g_combined_kernel(int, int, int, int, grid, parameters, dt_info, particles_pointers, field_pointers, ids_pointers, grd_pointers)"
"GPU activities",4.133440,3.319157,18720,0.177305,0.046942,0.472393,"[CUDA memcpy HtoD]"
"GPU activities",3.281638,2.635159,15800,0.166782,0.042590,0.635841,"[CUDA memcpy DtoH]"
"API calls",97.453237,80.144343,80,1001.804291,239.199371,2084.148130,"cudaDeviceSynchronize"
"API calls",1.502661,1.235770,28,44.134629,33.252259,308.040403,"cudaHostAlloc"
"API calls",0.441356,0.362966,1240,0.292714,0.190582,4.763512,"cudaMemcpy"
"API calls",0.301800,0.248197,28,8.864176,8.251591,11.743776,"cudaFreeHost"
"API calls",0.241157,0.198325,33280,0.005959,0.004388,0.599751,"cudaMemcpyAsync"
"API calls",0.046847,0.038527,2560,0.015049,0.011260,0.670898,"cudaLaunchKernel"
"API calls",0.006082,0.005002,27,0.185255,0.137311,0.741872,"cudaMalloc"
"API calls",0.003831,0.003150,27,0.116678,0.085282,0.267874,"cudaFree"
"API calls",0.001702,0.001400,192,0.007291,0.000297,0.319633,"cuDeviceGetAttribute"
"API calls",0.000695,0.000571,32,0.017852,0.001698,0.174900,"cudaStreamCreate"
"API calls",0.000276,0.000227,2,0.113500,0.109284,0.117716,"cuDeviceTotalMem"
"API calls",0.000194,0.000160,32,0.004986,0.002205,0.036464,"cudaStreamDestroy"
"API calls",0.000122,0.000100,2,0.050205,0.038125,0.062286,"cuDeviceGetName"
"API calls",0.000030,0.000024,2,0.012239,0.007285,0.017193,"cuDeviceGetPCIBusId"
"API calls",0.000004,0.000003,3,0.001126,0.000427,0.002336,"cuDeviceGetCount"
"API calls",0.000003,0.000003,4,0.000658,0.000320,0.001418,"cuDeviceGet"
"API calls",0.000002,0.000001,2,0.000648,0.000444,0.000852,"cuDeviceGetUuid"
