==32289== NVPROF is profiling process 32289, command: ./bin/sputniPIC.out inputfiles/GEM_2D_increased.inp -t 128 -s 2 -c
==32289== Profiling application: ./bin/sputniPIC.out inputfiles/GEM_2D_increased.inp -t 128 -s 2 -c
==32289== Profiling result:
"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,s,,ms,ms,ms,
"GPU activities",92.655748,74.206434,160,463.790213,109.658714,978.462492,"g_combined_kernel(int, int, int, int, grid, parameters, dt_info, particles_pointers, field_pointers, ids_pointers, grd_pointers)"
"GPU activities",4.098136,3.282129,1920,1.709441,0.067549,5.203671,"[CUDA memcpy HtoD]"
"GPU activities",3.246116,2.599760,1400,1.856971,0.060861,4.918054,"[CUDA memcpy DtoH]"
"API calls",97.744931,80.007674,80,1000.095926,239.232912,2082.995665,"cudaDeviceSynchronize"
"API calls",1.471382,1.204378,28,43.013508,32.324520,313.259414,"cudaHostAlloc"
"API calls",0.446576,0.365538,1240,0.294788,0.197692,8.026791,"cudaMemcpy"
"API calls",0.299722,0.245333,28,8.761894,8.323349,11.400312,"cudaFreeHost"
"API calls",0.019109,0.015641,2080,0.007519,0.004349,0.086836,"cudaMemcpyAsync"
"API calls",0.006317,0.005171,27,0.191509,0.140377,0.729775,"cudaMalloc"
"API calls",0.005530,0.004527,160,0.028292,0.011853,0.190448,"cudaLaunchKernel"
"API calls",0.004055,0.003319,27,0.122927,0.089629,0.260804,"cudaFree"
"API calls",0.001664,0.001362,192,0.007094,0.000297,0.330640,"cuDeviceGetAttribute"
"API calls",0.000328,0.000268,2,0.134110,0.127174,0.141047,"cuDeviceTotalMem"
"API calls",0.000157,0.000128,2,0.064132,0.039365,0.088900,"cuDeviceGetName"
"API calls",0.000127,0.000104,2,0.052117,0.004368,0.099866,"cudaStreamCreate"
"API calls",0.000049,0.000040,2,0.019853,0.003921,0.035785,"cudaStreamDestroy"
"API calls",0.000044,0.000036,2,0.017920,0.007232,0.028608,"cuDeviceGetPCIBusId"
"API calls",0.000005,0.000004,3,0.001276,0.000470,0.002370,"cuDeviceGetCount"
"API calls",0.000003,0.000003,4,0.000651,0.000330,0.001323,"cuDeviceGet"
"API calls",0.000002,0.000001,2,0.000664,0.000458,0.000870,"cuDeviceGetUuid"
