==35963== NVPROF is profiling process 35963, command: ./bin/sputniPIC.out inputfiles/GEM_2D_increased.inp -t 128 -s 64 -c
==35963== Profiling application: ./bin/sputniPIC.out inputfiles/GEM_2D_increased.inp -t 128 -s 64 -c
==35963== Profiling result:
"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,s,,ms,ms,ms,
"GPU activities",92.498484,74.462486,5120,14.543454,3.435962,30.720054,"g_combined_kernel(int, int, int, int, grid, parameters, dt_info, particles_pointers, field_pointers, ids_pointers, grd_pointers)"
"GPU activities",4.178677,3.363889,36640,0.091809,0.024319,0.299250,"[CUDA memcpy HtoD]"
"GPU activities",3.322839,2.674929,31160,0.085844,0.021631,0.302130,"[CUDA memcpy DtoH]"
"API calls",97.152496,80.093322,80,1001.166529,238.311340,2084.635339,"cudaDeviceSynchronize"
"API calls",1.484044,1.223458,28,43.694932,32.183496,330.165693,"cudaHostAlloc"
"API calls",0.524411,0.432329,66560,0.006495,0.004410,30.446353,"cudaMemcpyAsync"
"API calls",0.443282,0.365445,1240,0.294713,0.199326,5.729476,"cudaMemcpy"
"API calls",0.295765,0.243831,28,8.708246,8.155225,11.040681,"cudaFreeHost"
"API calls",0.086227,0.071086,5120,0.013883,0.011162,0.187158,"cudaLaunchKernel"
"API calls",0.006337,0.005224,27,0.193490,0.139979,0.765467,"cudaMalloc"
"API calls",0.003908,0.003222,27,0.119325,0.089308,0.271665,"cudaFree"
"API calls",0.001646,0.001357,192,0.007068,0.000300,0.342285,"cuDeviceGetAttribute"
"API calls",0.001066,0.000879,64,0.013727,0.001541,0.166312,"cudaStreamCreate"
"API calls",0.000337,0.000277,64,0.004334,0.002028,0.042571,"cudaStreamDestroy"
"API calls",0.000307,0.000253,2,0.126349,0.108591,0.144108,"cuDeviceTotalMem"
"API calls",0.000121,0.000100,2,0.049904,0.036889,0.062919,"cuDeviceGetName"
"API calls",0.000041,0.000033,2,0.016700,0.007291,0.026109,"cuDeviceGetPCIBusId"
"API calls",0.000009,0.000007,4,0.001866,0.000333,0.006205,"cuDeviceGet"
"API calls",0.000004,0.000003,3,0.001116,0.000467,0.002275,"cuDeviceGetCount"
"API calls",0.000001,0.000001,2,0.000609,0.000462,0.000756,"cuDeviceGetUuid"
