==1707== NVPROF is profiling process 1707, command: ./bin/sputniPIC.out inputfiles/GEM_2D.inp -t 128 -c
==1707== Profiling application: ./bin/sputniPIC.out inputfiles/GEM_2D.inp -t 128 -c
==1707== Profiling result:
"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,s,,ms,ms,ms,
"GPU activities",74.630258,18.421897,40,460.547425,402.389510,566.892575,"g_combined_kernel(int, int, int, int, grid, parameters, dt_info, particles_pointers, field_pointers, ids_pointers, grd_pointers)"
"GPU activities",15.221336,3.757268,1080,3.478951,0.067581,14.836483,"[CUDA memcpy HtoD]"
"GPU activities",10.148406,2.505055,680,3.683904,0.060893,15.451652,"[CUDA memcpy DtoH]"
"API calls",98.744003,25.795779,1760,14.656692,0.242825,581.900043,"cudaMemcpy"
"API calls",1.215101,0.317432,27,11.756732,0.161782,312.819571,"cudaMalloc"
"API calls",0.016161,0.004222,40,0.105544,0.079274,0.234985,"cudaLaunchKernel"
"API calls",0.011735,0.003066,27,0.113546,0.088826,0.422339,"cudaFree"
"API calls",0.007910,0.002066,192,0.010762,0.000320,0.762638,"cuDeviceGetAttribute"
"API calls",0.002438,0.000637,40,0.015921,0.009106,0.026663,"cudaDeviceSynchronize"
"API calls",0.001323,0.000346,2,0.172814,0.046596,0.299032,"cuDeviceGetName"
"API calls",0.001198,0.000313,2,0.156490,0.137074,0.175907,"cuDeviceTotalMem"
"API calls",0.000092,0.000024,2,0.012039,0.007072,0.017007,"cuDeviceGetPCIBusId"
"API calls",0.000014,0.000004,4,0.000944,0.000352,0.002018,"cuDeviceGet"
"API calls",0.000013,0.000003,3,0.001162,0.000488,0.002270,"cuDeviceGetCount"
"API calls",0.000011,0.000003,2,0.001411,0.001383,0.001440,"cuDeviceGetUuid"
