==9030== NVPROF is profiling process 9030, command: ./bin/sputniPIC.out inputfiles/GEM_2D_increased.inp -t 128 -s 64 -c
==9030== Profiling application: ./bin/sputniPIC.out inputfiles/GEM_2D_increased.inp -t 128 -s 64 -c
==9030== Profiling result:
"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,s,,ms,ms,ms,
"GPU activities",92.567852,74.369537,3000,24.789845,1.645873,30.720219,"g_combined_kernel(int, int, int, int, grid, parameters, dt_info, particles_pointers, field_pointers, ids_pointers, grd_pointers)"
"GPU activities",4.144735,3.329904,21800,0.152747,0.011967,0.289010,"[CUDA memcpy HtoD]"
"GPU activities",3.287413,2.641126,18440,0.143228,0.009791,0.316976,"[CUDA memcpy DtoH]"
"API calls",97.434740,80.082527,80,1001.031583,239.187348,2083.839896,"cudaDeviceSynchronize"
"API calls",1.454364,1.195355,28,42.691265,33.147027,279.007912,"cudaHostAlloc"
"API calls",0.456662,0.375335,1240,0.302689,0.177118,14.870188,"cudaMemcpy"
"API calls",0.298425,0.245278,28,8.759925,8.147867,11.081722,"cudaFreeHost"
"API calls",0.288861,0.237418,39000,0.006087,0.004410,0.664611,"cudaMemcpyAsync"
"API calls",0.053439,0.043922,3000,0.014640,0.011135,0.675517,"cudaLaunchKernel"
"API calls",0.006164,0.005066,27,0.187645,0.136509,0.682122,"cudaMalloc"
"API calls",0.003667,0.003014,27,0.111616,0.086261,0.258337,"cudaFree"
"API calls",0.001774,0.001458,192,0.007593,0.000317,0.335035,"cuDeviceGetAttribute"
"API calls",0.001094,0.000899,64,0.014045,0.001745,0.146905,"cudaStreamCreate"
"API calls",0.000305,0.000251,64,0.003921,0.002005,0.037763,"cudaStreamDestroy"
"API calls",0.000305,0.000251,2,0.125465,0.115356,0.135575,"cuDeviceTotalMem"
"API calls",0.000161,0.000132,2,0.066053,0.041607,0.090500,"cuDeviceGetName"
"API calls",0.000031,0.000025,2,0.012603,0.007050,0.018156,"cuDeviceGetPCIBusId"
"API calls",0.000005,0.000004,3,0.001235,0.000446,0.002400,"cuDeviceGetCount"
"API calls",0.000003,0.000003,4,0.000650,0.000323,0.001344,"cuDeviceGet"
"API calls",0.000002,0.000001,2,0.000647,0.000456,0.000838,"cuDeviceGetUuid"
