==33603== NVPROF is profiling process 33603, command: ./bin/sputniPIC.out inputfiles/GEM_2D_increased.inp -t 128 -s 4 -c
==33603== Profiling application: ./bin/sputniPIC.out inputfiles/GEM_2D_increased.inp -t 128 -s 4 -c
==33603== Profiling result:
"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,s,,ms,ms,ms,
"GPU activities",92.661217,74.213138,320,231.916057,54.817847,489.361427,"g_combined_kernel(int, int, int, int, grid, parameters, dt_info, particles_pointers, field_pointers, ids_pointers, grd_pointers)"
"GPU activities",4.076546,3.264940,3040,1.073993,0.066908,2.717916,"[CUDA memcpy HtoD]"
"GPU activities",3.262237,2.612753,2360,1.107098,0.060893,2.701692,"[CUDA memcpy DtoH]"
"API calls",97.731830,80.043877,80,1000.548466,239.126055,2081.098172,"cudaDeviceSynchronize"
"API calls",1.471553,1.205225,28,43.043740,32.160408,315.919320,"cudaHostAlloc"
"API calls",0.440940,0.361137,1240,0.291239,0.172427,4.742579,"cudaMemcpy"
"API calls",0.297826,0.243924,28,8.711583,8.193456,10.917060,"cudaFreeHost"
"API calls",0.036385,0.029800,4160,0.007163,0.004324,0.103351,"cudaMemcpyAsync"
"API calls",0.008871,0.007265,320,0.022703,0.011614,0.210843,"cudaLaunchKernel"
"API calls",0.006273,0.005138,27,0.190289,0.138287,0.739801,"cudaMalloc"
"API calls",0.003957,0.003241,27,0.120045,0.088572,0.276659,"cudaFree"
"API calls",0.001722,0.001411,192,0.007347,0.000302,0.350953,"cuDeviceGetAttribute"
"API calls",0.000297,0.000244,2,0.121757,0.108303,0.135211,"cuDeviceTotalMem"
"API calls",0.000130,0.000106,4,0.026518,0.003441,0.055977,"cudaStreamCreate"
"API calls",0.000121,0.000099,2,0.049703,0.038101,0.061306,"cuDeviceGetName"
"API calls",0.000055,0.000045,4,0.011232,0.002825,0.034711,"cudaStreamDestroy"
"API calls",0.000028,0.000023,2,0.011445,0.007694,0.015197,"cuDeviceGetPCIBusId"
"API calls",0.000004,0.000004,4,0.000920,0.000308,0.002540,"cuDeviceGet"
"API calls",0.000004,0.000004,3,0.001175,0.000298,0.002560,"cuDeviceGetCount"
"API calls",0.000001,0.000001,2,0.000609,0.000410,0.000808,"cuDeviceGetUuid"
