==33063== NVPROF is profiling process 33063, command: ./bin/sputniPIC.out inputfiles/GEM_2D_increased.inp -t 128 -s 4 -c
==33063== Profiling application: ./bin/sputniPIC.out inputfiles/GEM_2D_increased.inp -t 128 -s 4 -c
==33063== Profiling result:
"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,s,,ms,ms,ms,
"GPU activities",92.433632,74.214250,320,231.919530,54.811280,489.385585,"g_combined_kernel(int, int, int, int, grid, parameters, dt_info, particles_pointers, field_pointers, ids_pointers, grd_pointers)"
"GPU activities",4.242974,3.406651,3040,1.120608,0.068220,2.990318,"[CUDA memcpy HtoD]"
"GPU activities",3.323393,2.668327,2360,1.130646,0.061021,3.368924,"[CUDA memcpy DtoH]"
"API calls",97.295381,80.234472,80,1002.930893,239.614228,2088.303562,"cudaDeviceSynchronize"
"API calls",1.575568,1.299289,28,46.403183,32.313463,342.176044,"cudaHostAlloc"
"API calls",0.738940,0.609366,1240,0.491423,0.188809,15.174309,"cudaMemcpy"
"API calls",0.318403,0.262570,28,9.377515,8.031182,14.049983,"cudaFreeHost"
"API calls",0.044303,0.036534,4160,0.008782,0.005045,0.190329,"cudaMemcpyAsync"
"API calls",0.009374,0.007730,320,0.024156,0.014617,0.262664,"cudaLaunchKernel"
"API calls",0.008415,0.006940,27,0.257020,0.149721,0.777579,"cudaFree"
"API calls",0.007010,0.005781,27,0.214103,0.146272,0.979434,"cudaMalloc"
"API calls",0.001849,0.001525,192,0.007943,0.000298,0.383117,"cuDeviceGetAttribute"
"API calls",0.000290,0.000239,2,0.119649,0.114890,0.124409,"cuDeviceTotalMem"
"API calls",0.000202,0.000166,4,0.041577,0.003035,0.151420,"cudaStreamCreate"
"API calls",0.000128,0.000106,2,0.052960,0.040647,0.065274,"cuDeviceGetName"
"API calls",0.000103,0.000085,4,0.021317,0.007036,0.060499,"cudaStreamDestroy"
"API calls",0.000024,0.000020,2,0.009777,0.007557,0.011998,"cuDeviceGetPCIBusId"
"API calls",0.000004,0.000003,3,0.001123,0.000504,0.002296,"cuDeviceGetCount"
"API calls",0.000004,0.000003,4,0.000748,0.000320,0.001832,"cuDeviceGet"
"API calls",0.000002,0.000001,2,0.000644,0.000465,0.000824,"cuDeviceGetUuid"
