==8025== NVPROF is profiling process 8025, command: ./bin/sputniPIC.out inputfiles/GEM_2D_increased.inp -t 128 -s 32 -c
==8025== Profiling application: ./bin/sputniPIC.out inputfiles/GEM_2D_increased.inp -t 128 -s 32 -c
==8025== Profiling result:
"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,s,,ms,ms,ms,
"GPU activities",92.591866,74.278702,1520,48.867567,1.656848,61.328155,"g_combined_kernel(int, int, int, int, grid, parameters, dt_info, particles_pointers, field_pointers, ids_pointers, grd_pointers)"
"GPU activities",4.131761,3.314566,11440,0.289734,0.011999,0.470665,"[CUDA memcpy HtoD]"
"GPU activities",3.276373,2.628360,9560,0.274933,0.009791,0.488936,"[CUDA memcpy DtoH]"
"API calls",97.627942,80.438442,80,1005.480520,240.585915,2090.975138,"cudaDeviceSynchronize"
"API calls",1.441985,1.188092,28,42.431866,33.047756,271.960972,"cudaHostAlloc"
"API calls",0.438613,0.361386,1240,0.291440,0.194546,1.635527,"cudaMemcpy"
"API calls",0.299443,0.246720,28,8.811429,8.082545,11.181633,"cudaFreeHost"
"API calls",0.150840,0.124282,19760,0.006289,0.004400,0.629448,"cudaMemcpyAsync"
"API calls",0.028616,0.023578,1520,0.015511,0.011228,0.205263,"cudaLaunchKernel"
"API calls",0.005680,0.004680,27,0.173328,0.127230,0.821090,"cudaMalloc"
"API calls",0.004015,0.003308,27,0.122519,0.088848,0.320428,"cudaFree"
"API calls",0.001646,0.001356,192,0.007063,0.000298,0.342445,"cuDeviceGetAttribute"
"API calls",0.000603,0.000496,32,0.015514,0.001629,0.143045,"cudaStreamCreate"
"API calls",0.000279,0.000230,2,0.114818,0.109071,0.120566,"cuDeviceTotalMem"
"API calls",0.000182,0.000150,32,0.004677,0.002076,0.042965,"cudaStreamDestroy"
"API calls",0.000116,0.000096,2,0.047752,0.036385,0.059119,"cuDeviceGetName"
"API calls",0.000031,0.000025,2,0.012723,0.006711,0.018735,"cuDeviceGetPCIBusId"
"API calls",0.000004,0.000003,3,0.001074,0.000451,0.002272,"cuDeviceGetCount"
"API calls",0.000004,0.000003,4,0.000759,0.000298,0.001890,"cuDeviceGet"
"API calls",0.000001,0.000001,2,0.000598,0.000422,0.000775,"cuDeviceGetUuid"
