==7391== NVPROF is profiling process 7391, command: ./bin/sputniPIC.out inputfiles/GEM_2D_increased.inp -t 128 -s 16 -c
==7391== Profiling application: ./bin/sputniPIC.out inputfiles/GEM_2D_increased.inp -t 128 -s 16 -c
==7391== Profiling result:
"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,s,,ms,ms,ms,
"GPU activities",93.013034,74.235492,760,97.678278,45.168579,122.520634,"g_combined_kernel(int, int, int, int, grid, parameters, dt_info, particles_pointers, field_pointers, ids_pointers, grd_pointers)"
"GPU activities",3.907670,3.118787,6120,0.509605,0.066685,0.813849,"[CUDA memcpy HtoD]"
"GPU activities",3.079296,2.457646,5000,0.491529,0.060861,0.887925,"[CUDA memcpy DtoH]"
"API calls",97.580575,79.864115,80,998.301432,238.287197,2076.940990,"cudaDeviceSynchronize"
"API calls",1.518558,1.242853,28,44.387589,32.522079,324.247194,"cudaHostAlloc"
"API calls",0.503372,0.411981,1240,0.332242,0.193167,9.617041,"cudaMemcpy"
"API calls",0.285524,0.233685,28,8.345884,8.001783,10.727325,"cudaFreeHost"
"API calls",0.082463,0.067491,9880,0.006831,0.004452,0.613311,"cudaMemcpyAsync"
"API calls",0.016216,0.013272,760,0.017462,0.011513,0.192343,"cudaLaunchKernel"
"API calls",0.006632,0.005428,27,0.201046,0.146650,0.945998,"cudaMalloc"
"API calls",0.003939,0.003224,27,0.119396,0.091026,0.268032,"cudaFree"
"API calls",0.001683,0.001377,192,0.007172,0.000307,0.354078,"cuDeviceGetAttribute"
"API calls",0.000463,0.000379,16,0.023686,0.002053,0.171465,"cudaStreamCreate"
"API calls",0.000293,0.000240,2,0.120104,0.108074,0.132135,"cuDeviceTotalMem"
"API calls",0.000124,0.000102,2,0.050947,0.037157,0.064738,"cuDeviceGetName"
"API calls",0.000118,0.000097,16,0.006031,0.002406,0.044814,"cudaStreamDestroy"
"API calls",0.000025,0.000020,2,0.010240,0.006928,0.013553,"cuDeviceGetPCIBusId"
"API calls",0.000010,0.000008,4,0.002024,0.000339,0.006840,"cuDeviceGet"
"API calls",0.000004,0.000003,3,0.001092,0.000307,0.002299,"cuDeviceGetCount"
"API calls",0.000001,0.000001,2,0.000593,0.000467,0.000720,"cuDeviceGetUuid"
