==2522== NVPROF is profiling process 2522, command: ./bin/sputniPIC.out inputfiles/GEM_2D.inp -t 512 -c
==2522== Profiling application: ./bin/sputniPIC.out inputfiles/GEM_2D.inp -t 512 -c
==2522== Profiling result:
"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,s,,ms,ms,ms,
"GPU activities",82.964541,19.901852,40,497.546290,432.499068,605.338983,"g_combined_kernel(int, int, int, int, grid, parameters, dt_info, particles_pointers, field_pointers, ids_pointers, grd_pointers)"
"GPU activities",9.231114,2.214395,680,3.256463,0.060829,13.110584,"[CUDA memcpy DtoH]"
"GPU activities",7.804345,1.872136,1080,1.733459,0.066780,13.318286,"[CUDA memcpy HtoD]"
"API calls",98.979575,24.645139,1760,14.002919,0.227133,619.826497,"cudaMemcpy"
"API calls",0.981225,0.244317,27,9.048786,0.167811,239.520715,"cudaMalloc"
"API calls",0.015759,0.003924,40,0.098098,0.078376,0.171512,"cudaLaunchKernel"
"API calls",0.013352,0.003324,27,0.123126,0.086184,0.556787,"cudaFree"
"API calls",0.005680,0.001414,192,0.007366,0.000297,0.350010,"cuDeviceGetAttribute"
"API calls",0.002811,0.000700,40,0.017498,0.012645,0.030933,"cudaDeviceSynchronize"
"API calls",0.001007,0.000251,2,0.125335,0.115971,0.134699,"cuDeviceTotalMem"
"API calls",0.000461,0.000115,2,0.057450,0.039077,0.075823,"cuDeviceGetName"
"API calls",0.000098,0.000025,2,0.012253,0.007333,0.017173,"cuDeviceGetPCIBusId"
"API calls",0.000016,0.000004,3,0.001333,0.000488,0.002392,"cuDeviceGetCount"
"API calls",0.000011,0.000003,4,0.000712,0.000354,0.001680,"cuDeviceGet"
"API calls",0.000005,0.000001,2,0.000571,0.000420,0.000722,"cuDeviceGetUuid"
