==590== NVPROF is profiling process 590, command: ./bin/sputniPIC.out inputfiles/GEM_2D.inp -t 16 -c
==590== Profiling application: ./bin/sputniPIC.out inputfiles/GEM_2D.inp -t 16 -c
==590== Profiling result:
"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,s,,ms,ms,ms,
"GPU activities",89.469648,34.551306,40,863.782638,750.147429,999.110290,"g_combined_kernel(int, int, int, int, grid, parameters, dt_info, particles_pointers, field_pointers, ids_pointers, grd_pointers)"
"GPU activities",5.691972,2.198120,680,3.232529,0.060829,13.121266,"[CUDA memcpy DtoH]"
"GPU activities",4.838380,1.868481,1080,1.730075,0.066813,12.984633,"[CUDA memcpy HtoD]"
"API calls",99.345208,39.265530,1760,22.309960,0.229697,1013.890112,"cudaMemcpy"
"API calls",0.630735,0.249294,27,9.233105,0.174494,244.307311,"cudaMalloc"
"API calls",0.009122,0.003606,40,0.090139,0.076375,0.161351,"cudaLaunchKernel"
"API calls",0.008490,0.003356,27,0.124282,0.088663,0.529458,"cudaFree"
"API calls",0.003576,0.001413,192,0.007361,0.000295,0.338213,"cuDeviceGetAttribute"
"API calls",0.001807,0.000714,40,0.017854,0.012005,0.038874,"cudaDeviceSynchronize"
"API calls",0.000659,0.000260,2,0.130174,0.114289,0.146059,"cuDeviceTotalMem"
"API calls",0.000265,0.000105,2,0.052451,0.039485,0.065418,"cuDeviceGetName"
"API calls",0.000118,0.000047,2,0.023261,0.007829,0.038694,"cuDeviceGetPCIBusId"
"API calls",0.000009,0.000004,3,0.001215,0.000525,0.002386,"cuDeviceGetCount"
"API calls",0.000008,0.000003,4,0.000762,0.000368,0.001720,"cuDeviceGet"
"API calls",0.000003,0.000001,2,0.000584,0.000490,0.000678,"cuDeviceGetUuid"
