==1303== NVPROF is profiling process 1303, command: ./bin/sputniPIC.out inputfiles/GEM_2D.inp -t 64 -c
==1303== Profiling application: ./bin/sputniPIC.out inputfiles/GEM_2D.inp -t 64 -c
==1303== Profiling result:
"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,s,,ms,ms,ms,
"GPU activities",75.120842,18.896771,40,472.419278,410.820732,573.271679,"g_combined_kernel(int, int, int, int, grid, parameters, dt_info, particles_pointers, field_pointers, ids_pointers, grd_pointers)"
"GPU activities",15.036034,3.782339,1080,3.502165,0.067997,16.972399,"[CUDA memcpy HtoD]"
"GPU activities",9.843124,2.476054,680,3.641255,0.060829,14.758685,"[CUDA memcpy DtoH]"
"API calls",98.964642,26.275503,1760,14.929263,0.245693,588.929061,"cudaMemcpy"
"API calls",0.994685,0.264093,27,9.781215,0.181247,258.850173,"cudaMalloc"
"API calls",0.015712,0.004171,40,0.104287,0.083156,0.237670,"cudaLaunchKernel"
"API calls",0.014932,0.003964,27,0.146831,0.094039,0.709152,"cudaFree"
"API calls",0.005417,0.001438,192,0.007491,0.000302,0.351587,"cuDeviceGetAttribute"
"API calls",0.003177,0.000844,40,0.021089,0.012407,0.052247,"cudaDeviceSynchronize"
"API calls",0.000897,0.000238,2,0.119022,0.114094,0.123951,"cuDeviceTotalMem"
"API calls",0.000398,0.000106,2,0.052782,0.040008,0.065556,"cuDeviceGetName"
"API calls",0.000111,0.000029,2,0.014749,0.007253,0.022246,"cuDeviceGetPCIBusId"
"API calls",0.000014,0.000004,3,0.001210,0.000554,0.002424,"cuDeviceGetCount"
"API calls",0.000012,0.000003,4,0.000786,0.000325,0.001952,"cuDeviceGet"
"API calls",0.000004,0.000001,2,0.000588,0.000500,0.000677,"cuDeviceGetUuid"
