==1212== NVPROF is profiling process 1212, command: ./bin/sputniPIC.out inputfiles/GEM_2D.inp -t 64 -c
==1212== Profiling application: ./bin/sputniPIC.out inputfiles/GEM_2D.inp -t 64 -c
==1212== Profiling result:
"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,s,,ms,ms,ms,
"GPU activities",85.659389,18.896329,40,472.408223,410.782408,573.269018,"g_combined_kernel(int, int, int, int, grid, parameters, dt_info, particles_pointers, field_pointers, ids_pointers, grd_pointers)"
"GPU activities",7.876430,1.737528,1080,1.608822,0.066748,7.108768,"[CUDA memcpy HtoD]"
"GPU activities",6.464180,1.425988,680,2.097041,0.060829,6.533981,"[CUDA memcpy DtoH]"
"API calls",98.457120,22.594876,1760,12.837997,0.228331,580.387722,"cudaMemcpy"
"API calls",1.500574,0.344366,27,12.754295,0.175491,339.406383,"cudaMalloc"
"API calls",0.016995,0.003900,40,0.097505,0.075016,0.184264,"cudaLaunchKernel"
"API calls",0.014259,0.003272,27,0.121192,0.085378,0.525059,"cudaFree"
"API calls",0.006063,0.001391,192,0.007246,0.000300,0.324112,"cuDeviceGetAttribute"
"API calls",0.003173,0.000728,40,0.018203,0.010850,0.034524,"cudaDeviceSynchronize"
"API calls",0.001188,0.000273,2,0.136290,0.114383,0.158198,"cuDeviceTotalMem"
"API calls",0.000471,0.000108,2,0.054065,0.040349,0.067781,"cuDeviceGetName"
"API calls",0.000124,0.000028,2,0.014200,0.007432,0.020969,"cuDeviceGetPCIBusId"
"API calls",0.000016,0.000004,3,0.001252,0.000555,0.002296,"cuDeviceGetCount"
"API calls",0.000012,0.000003,4,0.000688,0.000355,0.001488,"cuDeviceGet"
"API calls",0.000006,0.000001,2,0.000633,0.000463,0.000803,"cuDeviceGetUuid"
