==5294== NVPROF is profiling process 5294, command: ./bin/sputniPIC.out inputfiles/GEM_2D_increased.inp -t 128 -s 2 -c
==5294== Profiling application: ./bin/sputniPIC.out inputfiles/GEM_2D_increased.inp -t 128 -s 2 -c
==5294== Profiling result:
"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,s,,ms,ms,ms,
"GPU activities",92.709819,74.206648,120,618.388732,219.311108,978.438225,"g_combined_kernel(int, int, int, int, grid, parameters, dt_info, particles_pointers, field_pointers, ids_pointers, grd_pointers)"
"GPU activities",4.068051,3.256143,1640,1.985453,0.067517,5.240959,"[CUDA memcpy HtoD]"
"GPU activities",3.222130,2.579052,1160,2.223321,0.060893,4.971885,"[CUDA memcpy DtoH]"
"API calls",97.650102,79.953514,80,999.418924,239.176050,2081.604515,"cudaDeviceSynchronize"
"API calls",1.530771,1.253358,28,44.762791,31.851287,358.148197,"cudaHostAlloc"
"API calls",0.446079,0.365239,1240,0.294547,0.210570,10.741145,"cudaMemcpy"
"API calls",0.340552,0.278836,28,9.958413,9.357094,14.354069,"cudaFreeHost"
"API calls",0.015374,0.012587,1560,0.008068,0.004412,0.084745,"cudaMemcpyAsync"
"API calls",0.006294,0.005153,27,0.190870,0.137499,0.733020,"cudaMalloc"
"API calls",0.004270,0.003496,120,0.029137,0.011985,0.169322,"cudaLaunchKernel"
"API calls",0.004223,0.003457,27,0.128051,0.098192,0.252981,"cudaFree"
"API calls",0.001755,0.001437,192,0.007485,0.000303,0.378159,"cuDeviceGetAttribute"
"API calls",0.000282,0.000231,2,0.115425,0.107719,0.123132,"cuDeviceTotalMem"
"API calls",0.000126,0.000103,2,0.051641,0.038374,0.064909,"cuDeviceGetName"
"API calls",0.000063,0.000051,2,0.025744,0.005172,0.046317,"cudaStreamCreate"
"API calls",0.000058,0.000047,2,0.023716,0.004802,0.042630,"cudaStreamDestroy"
"API calls",0.000026,0.000021,2,0.010701,0.007373,0.014030,"cuDeviceGetPCIBusId"
"API calls",0.000018,0.000015,4,0.003734,0.000314,0.013770,"cuDeviceGet"
"API calls",0.000004,0.000003,3,0.001148,0.000514,0.002376,"cuDeviceGetCount"
"API calls",0.000002,0.000001,2,0.000624,0.000432,0.000817,"cuDeviceGetUuid"
